FROM,TO,VALUE
5156,5156,2447
5160,5160,1024
5162,5162,258
5163,5163,14
5166,5166,1618
5167,5167,638
5176,5176,881
5178,5178,2916
5179,5179,2349
5184,5184,5169
5185,5185,4231
5186,5186,512
5188,5188,177
5189,5189,881
5192,5192,206
5193,5193,739
5196,5196,1930
5198,5198,5013
5206,5206,5205
5209,5209,3630
5210,5210,5205
5211,5211,9
5212,5212,1145
5214,5214,1708
5217,5217,5208
5219,5219,4254
5225,5225,5220
5232,5232,112
5238,5238,5236
5239,5239,599
5240,5240,2938
5242,5242,5241
5244,5244,1884
5247,5247,178
5250,5250,511
