5291,mz,srg,sj,mz,sj,sj,mz,sj, 1127
337,sj,sj,rsv,sj,sj,sj,mz,sj, 1125
338,SD,SD,SD,SD,SD,SD,SD,rsv, 1102
390,SD,sj,rsv,mz,sj,sj,sj,sj, 1091
1724,srg,sj,sj,sj,sj,sj,sj,sj, 1087
451,sj,mz,sj,otv,sj,sj,sj,sj, 1068
1236,SD,mz,sj,mz,sj,sj,mz,sj, 1067
339,sj,sj,rsv,sj,sj,sj,sj,mz, 1062
1018,sj,srg,sj,sj,mz,sj,sj,sj, 1048
438,sj,mz,mz,sj,sj,sj,sj,rsv, 1040
695,srg,SD,rsv,sj,sj,sj,rsv,rsv, 1032
340,sj,sj,rsv,sj,sj,sj,sj,sj, 1030
1210,sj,sj,rsv,mz,sj,sj,sj,mz, 1016
341,sj,sj,srg,sj,sj,sj,sj,sj, 1015
343,mz,sj,mz,sj,sj,mz,sj,sj, 1013
1365,mz,sj,sj,sj,mz,sj,mz,sj, 998
1474,sj,sj,sj,sj,sj,srg,sj,sj, 996
1519,sj,srg,sj,mz,sj,sj,mz,sj, 978
344,sj,sj,mz,sj,mz,sj,sj,sj, 956
788,SD,sj,sj,otv,sj,SD,sj,sj, 946
549,SD,srg,sj,mz,sj,mz,mz,mz, 941
345,SD,sj,sj,srg,sj,sj,sj,mz, 941
1115,SD,sj,sj,srg,sj,sj,mz,sj, 937
592,mz,mz,sj,SD,sj,sj,srg,sj, 891
889,SD,mz,sj,sj,sj,sj,sj,sj, 884
589,SD,srg,sj,sj,mz,sj,mz,mz, 864
346,mz,sj,sj,srg,sj,sj,sj,mz, 860
347,sj,sj,rsv,sj,sj,mz,sj,sj, 859
962,sj,sj,rsv,mz,sj,sj,mz,sj, 848
1010,sj,sj,mz,sj,sj,mz,sj,rsv, 846
374,mz,mz,sj,sj,sj,sj,sj,sj, 840
2385,SD,srg,sj,sj,sj,sj,sj,sj, 839
1094,SD,sj,mz,sj,sj,mz,sj,mz, 838
4024,SD,sj,srg,sj,sj,sj,mz,sj, 837
396,SD,SD,SD,SD,sj,rsv,rsv,rsv, 807
471,SD,srg,rsv,mz,sj,sj,sj,mz, 801
614,SD,sj,sj,otv,otv,sj,sj,mz, 803
437,sj,srg,sj,otv,sj,sj,sj,mz, 800
470,SD,sj,sj,sj,rsv,sj,mz,sj, 793
348,SD,SD,SD,SD,SD,sj,mz,sj, 789
349,SD,srg,rsv,SD,rsv,rsv,rsv,rsv, 778
588,sj,sj,sj,sj,sj,rsv,rsv,rsv, 772
2875,srg,sj,sj,srg,sj,sj,sj,mz, 772
766,SD,sj,sj,sj,rsv,sj,mn,sj, 756
626,sj,SD,rsv,rsv,mz,sj,sj,mz, 753
3415,srg,sj,sj,mz,sj,sj,mz,sj, 748
717,mz,sj,sj,SD,SD,SD,sj,mz, 733
4111,srg,sj,sj,sj,sj,sj,mz,sj, 720
2072,srg,sj,sj,srg,sj,sj,sj,sj, 719
353,SD,sj,rsv,sj,sj,sj,sj,sj, 713
851,sj,mz,sj,mz,sj,mz,otv,mz, 703
1239,SD,SD,SD,SD,SD,sj,sj,mz, 691
1582,sj,sj,mz,sj,sj,mn,mz,sj, 679
1642,srg,sj,sj,sj,mz,sj,sj,sj, 666
350,sj,sj,mz,mz,sj,sj,mz,sj, 662
385,SD,sj,sj,mz,sj,sj,sj,rsv, 661
745,mz,sj,mz,sj,mz,mn,sj,sj, 660
2433,sj,srg,sj,sj,sj,srg,sj,sj, 657
4427,srg,sj,sj,srg,sj,sj,mz,sj, 656
351,sj,sj,mz,sj,sj,sj,mz,mz, 649
612,sj,mz,sj,mz,sj,sj,otv,rsv, 649
456,mz,mz,sj,mz,sj,mz,sj,sj, 649
553,sj,mz,rsv,sj,rsv,otv,mn,rsv, 646
2708,sj,sj,srg,sj,sj,mz,sj,mz, 629
777,sj,sj,mz,mz,otv,mz,mz,sj, 628
1915,sj,sj,sj,sj,srg,sj,sj,sj, 624
4358,sj,sj,mn,mz,sj,sj,sj,mz, 615
1898,sj,srg,sj,mz,sj,sj,sj,mz, 610
1646,SD,sj,mz,sj,mz,sj,mz,sj, 605
1230,sj,mz,sj,mz,sj,mz,sj,sj, 602
1832,sj,mz,rsv,sj,sj,sj,sj,sj, 591
354,mz,sj,sj,mz,sj,sj,mz,mz, 588
1941,srg,sj,sj,sj,sj,sj,sj,mz, 581
