FROM,TO,VALUE
2954,2954,520
1729,1729,521
1952,1952,530
2260,2260,500
3724,3724,521
4956,4956,600
1405,1405,500
1600,1600,521
1935,1935,522
3912,3912,521
4608,4608,510
1239,1239,501
1616,1616,550
2516,2516,500
2692,2692,700
2838,2838,530
3004,3004,500
4011,4011,600
475,475,500
476,476,521
669,669,700
787,787,521
900,900,600
1280,1280,521
1623,1623,550
1876,1876,700
1965,1965,522
2039,2039,521
2777,2777,600
942,942,551
1128,1128,700
1130,1130,500
1182,1182,501
1443,1443,700
2024,2024,551
2067,2067,500
2070,2070,500
2310,2310,500
2938,2938,500
709,709,700
992,992,521
1099,1099,700
1628,1628,501
1860,1860,700
2439,2439,550
2463,2463,522
2499,2499,500
2740,2740,501
3570,3570,600
1030,1030,700
1361,1361,700
2770,2770,550
3284,3284,500
3334,3334,500
3544,3544,502
3696,3696,500
478,478,700
889,889,600
2213,2213,501
2321,2321,700
2966,2966,504
3634,3634,600
3861,3861,550
4659,4659,700
4878,4878,600
481,481,522
623,623,700
795,795,600
1485,1485,551
1548,1548,500
1850,1850,500
2333,2333,510
2524,2524,521
3606,3606,522
4319,4319,522
5095,5095,600
482,482,700
755,755,700
1549,1549,550
1677,1677,501
2171,2171,500
2512,2512,504
2554,2554,500
2693,2693,550
4231,4231,510
1848,1848,550
2474,2474,501
2580,2580,501
844,844,700
988,988,522
1359,1359,500
1369,1369,502
1811,1811,500
2425,2425,600
2488,2488,520
2936,2936,501
3368,3368,501
4856,4856,510
1163,1163,520
1986,1986,700
2111,2111,550
2407,2407,550
2883,2883,520
3402,3402,521
3766,3766,510
485,485,521
494,494,530
861,861,530
1498,1498,530
1787,1787,500
1820,1820,520
1852,1852,521
2231,2231,521
3364,3364,700
3807,3807,500
4035,4035,500
643,643,600
1150,1150,500
1346,1346,600
1571,1571,550
1833,1833,700
2890,2890,510
2942,2942,502
2977,2977,700
487,487,500
488,488,500
1012,1012,502
1077,1077,521
1097,1097,520
1289,1289,500
1421,1421,700
1669,1669,550
1797,1797,550
1930,1930,550
1949,1949,500
1950,1950,700
2435,2435,501
2698,2698,501
3455,3455,530
3612,3612,500
3653,3653,521
3937,3937,501
4057,4057,522
5025,5025,522
495,495,700
884,884,530
982,982,521
1098,1098,530
1120,1120,700
1523,1523,522
2100,2100,700
2271,2271,700
2904,2904,600
3785,3785,500
3826,3826,550
4322,4322,500
4815,4815,600
5078,5078,530
524,524,600
906,906,700
1105,1105,502
1414,1414,700
3086,3086,521
5055,5055,600
490,490,700
492,492,501
614,614,522
770,770,700
1716,1716,500
2148,2148,522
2689,2689,500
2766,2766,510
3197,3197,500
3359,3359,600
4000,4000,550
4235,4235,501
4413,4413,600
493,493,700
640,640,521
825,825,550
1263,1263,551
1681,1681,550
1987,1987,530
2968,2968,521
4673,4673,530
4953,4953,500
5052,5052,600
5085,5085,530
5153,5153,521
509,509,550
769,769,600
1018,1018,550
1510,1510,521
1867,1867,530
2109,2109,521
2887,2887,530
3196,3196,500
3405,3405,510
4114,4114,522
4891,4891,510
999,999,521
1831,1831,530
1894,1894,550
2045,2045,530
2141,2141,530
2632,2632,510
3749,3749,520
4191,4191,522
4922,4922,550
497,497,521
538,538,521
595,595,600
914,914,521
960,960,500
997,997,500
1054,1054,700
1142,1142,520
1164,1164,502
1351,1351,600
2150,2150,600
2244,2244,501
2433,2433,550
2802,2802,510
2900,2900,550
3011,3011,520
3079,3079,522
3707,3707,521
3857,3857,521
4147,4147,521
4387,4387,522
4589,4589,522
499,499,522
501,501,504
520,520,502
619,619,500
749,749,700
1101,1101,521
1243,1243,500
1496,1496,530
1985,1985,510
3130,3130,521
3864,3864,510
4845,4845,521
5082,5082,600
502,502,521
994,994,521
1298,1298,521
1594,1594,550
1856,1856,530
1898,1898,510
2161,2161,521
2958,2958,500
3751,3751,501
3938,3938,520
4203,4203,550
4254,4254,500
503,503,700
747,747,700
1415,1415,521
1615,1615,530
1895,1895,550
2480,2480,521
2608,2608,521
3389,3389,700
3472,3472,502
3538,3538,521
4127,4127,550
725,725,700
753,753,521
836,836,530
898,898,550
911,911,522
991,991,500
2168,2168,502
2827,2827,500
2874,2874,510
3101,3101,500
3395,3395,500
4672,4672,600
504,504,550
505,505,521
609,609,501
1287,1287,530
1366,1366,510
2010,2010,700
2073,2073,500
2134,2134,550
2241,2241,700
2550,2550,700
2976,2976,503
506,506,550
957,957,530
1477,1477,550
2506,2506,500
2596,2596,550
2886,2886,550
2891,2891,530
3200,3200,501
3779,3779,521
3893,3893,500
3966,3966,600
4118,4118,500
4159,4159,500
4633,4633,521
508,508,502
976,976,530
1162,1162,700
1435,1435,700
1474,1474,530
2071,2071,700
2903,2903,501
2981,2981,500
3133,3133,500
3535,3535,500
3595,3595,520
4146,4146,521
4192,4192,501
4306,4306,500
5032,5032,600
5063,5063,600
868,868,530
886,886,550
974,974,550
1022,1022,500
1113,1113,530
1197,1197,500
1208,1208,501
1823,1823,522
1973,1973,550
2774,2774,530
3557,3557,600
4093,4093,550
5168,5168,700
687,687,551
1177,1177,510
1224,1224,500
2324,2324,550
2419,2419,500
3061,3061,700
3599,3599,510
3711,3711,500
3776,3776,521
4007,4007,520
5062,5062,522
513,513,700
576,576,700
618,618,600
743,743,700
837,837,600
1286,1286,700
2149,2149,550
2682,2682,530
2781,2781,530
3384,3384,500
3399,3399,700
3523,3523,522
3855,3855,500
3872,3872,500
4530,4530,522
5051,5051,600
5075,5075,502
699,699,521
1183,1183,700
1213,1213,500
1300,1300,521
1708,1708,521
1802,1802,500
1875,1875,522
2688,2688,500
3336,3336,550
3474,3474,700
3586,3586,550
3588,3588,530
3806,3806,550
3879,3879,510
1240,1240,501
1482,1482,521
1766,1766,550
1857,1857,520
2174,2174,500
3249,3249,600
3423,3423,600
3436,3436,530
3456,3456,521
4033,4033,500
4704,4704,600
517,517,700
518,518,522
873,873,551
904,904,522
965,965,530
1036,1036,530
1123,1123,550
1362,1362,521
1372,1372,530
2048,2048,500
2360,2360,700
2834,2834,520
3814,3814,550
4014,4014,502
4431,4431,600
4451,4451,600
5173,5173,501
5222,5222,521
521,521,502
615,615,520
695,695,700
714,714,700
1176,1176,700
1397,1397,500
1501,1501,501
1671,1671,501
1962,1962,700
2147,2147,520
2322,2322,500
2541,2541,550
3103,3103,500
3432,3432,500
4550,4550,550
4658,4658,510
5016,5016,522
523,523,522
593,593,530
686,686,510
817,817,521
828,828,530
1302,1302,700
1406,1406,600
1413,1413,530
1425,1425,700
1654,1654,550
1963,1963,700
1976,1976,530
2007,2007,520
3775,3775,500
4017,4017,522
4691,4691,600
4832,4832,500
5099,5099,530
5195,5195,521
665,665,700
1000,1000,550
1086,1086,522
1257,1257,700
1347,1347,600
1416,1416,550
1451,1451,500
1455,1455,520
1588,1588,500
1844,1844,521
1991,1991,700
2065,2065,522
2314,2314,550
2543,2543,600
3035,3035,500
3041,3041,521
3127,3127,521
3189,3189,600
3208,3208,510
3452,3452,521
3656,3656,550
4071,4071,550
4483,4483,600
4605,4605,510
4625,4625,600
4631,4631,510
4769,4769,530
4958,4958,521
4972,4972,530
530,530,522
542,542,530
820,820,521
857,857,530
975,975,530
1166,1166,551
1216,1216,530
1218,1218,522
1317,1317,500
1575,1575,521
1863,1863,500
1877,1877,600
1923,1923,522
2009,2009,522
2083,2083,700
2410,2410,550
3270,3270,600
3290,3290,521
3357,3357,550
3477,3477,550
3682,3682,504
3915,3915,550
4291,4291,500
4327,4327,501
4709,4709,520
531,531,510
659,659,700
989,989,520
1103,1103,550
1389,1389,700
1525,1525,530
1736,1736,520
1885,1885,530
1888,1888,510
1921,1921,510
2113,2113,550
2157,2157,600
2264,2264,521
2424,2424,500
3132,3132,501
3137,3137,530
3182,3182,520
3275,3275,500
3502,3502,550
3700,3700,500
3800,3800,530
3839,3839,550
4034,4034,700
4433,4433,600
4473,4473,521
4681,4681,600
532,532,700
678,678,700
853,853,700
936,936,530
1230,1230,500
1331,1331,530
